collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD,cumulativeTradeVolume_USD
Sandbox's LANDs,3434.7496435725925,2.4,0.7,39.07719899,23,2022-08-13,1386.679258671053,4754.328886872182,77410.77332342061,
Decentraland LAND,473.83561,2.2,1.6,3.8,2,2022-08-13,3169.5525912481216,4358.134812966167,7527.687404214288,938654.3034382088
Cryptovoxels Parcel,194.78989237185723,2.49,1.0,5.48,3,2022-08-13,1980.970369530076,4932.616220129889,10855.717625024818,
NFT Worlds,2621.459624120839,0.69,0.6479,2.6975,3,2022-08-13,1283.4707024185363,1366.8695549757522,5343.667571807379,
Somnium Space Land,106.2749979,1.1,1.0,3.1,2,2022-08-13,1980.970369530076,2179.067406483084,6141.008145543236,
Sandbox's LANDs,3395.6724445825926,2.125,1.0101,94.36644,53,2022-08-12,1981.06103108258,4167.661311801289,185076.4052331377,
Somnium Space Land,103.1749979,1.395,1.395,1.395,1,2022-08-12,2735.94707292367,2735.94707292367,2735.94707292367,
Decentraland LAND,470.03561,1.83,1.76,7.2,4,2022-08-12,3451.80419236248,3589.091859104169,14121.017150573782,921858.459748668
NFT Worlds,2618.7621241208394,0.8489,0.6481,6.9838,9,2022-08-12,1271.0876687898428,1664.9071471002892,13696.994385580165,
Cryptovoxels Parcel,189.30989237185725,0.7,0.36888888899,3.48758888899,7,2022-08-12,723.4842122338747,1372.876667416895,6840.042016052548,
Sandbox's LANDs,3301.3060045825923,3.25,1.3,34.505,16,2022-08-11,2441.6757659816394,6104.1894149540985,64807.70946553574,
Decentraland LAND,462.83561,2.5,1.85,6.35,3,2022-08-11,3474.6924362046407,4695.53031919546,11926.647010756467,869303.4558233302
Somnium Space Land,101.7799979,1.1,1.1,1.1,1,2022-08-11,2066.0333404460025,2066.0333404460025,2066.0333404460025,
Cryptovoxels Parcel,185.82230348286723,0.588,0.4616,2.0996,3,2022-08-11,866.9827181362498,1104.388731074772,3943.494183273116,
NFT Worlds,2611.778324120839,1.0,0.6886,16.7089,18,2022-08-11,1293.3368711191974,1878.212127678184,31382.85862016201,
NFT Worlds,2595.0694241208394,1.35,0.7602000001,21.4527000001,22,2022-08-10,1407.176347071025,2498.931949876336,39710.24995656442,
Somnium Space Land,100.6799979,2.5,2.11,4.61,2,2022-08-10,3905.738084621533,4627.651759030252,8533.389843651785,
Decentraland LAND,456.48561,1.8,1.8,1.8,1,2022-08-10,3331.909266501781,3331.909266501781,3331.909266501781,844982.574435399
Cryptovoxels Parcel,183.72270348286725,0.699,0.31,2.6437,6,2022-08-10,573.8288181197512,1293.8914318248585,4893.64918213931,
Sandbox's LANDs,3266.801004582592,2.32,1.45,40.453,21,2022-08-10,2684.038020237546,4294.460832380073,74880.95864322032,
Decentraland LAND,454.68561,1.9,1.9,1.9,1,2022-08-09,3239.2945095432733,3239.2945095432733,3239.2945095432733,775189.789495439
Sandbox's LANDs,3226.3480045825922,2.2,1.2,33.44599999,19,2022-08-09,2045.8702165536463,3750.7620636816855,57021.81270199546,
NFT Worlds,2573.616724120739,1.75,0.761,14.9469,16,2022-08-09,1297.4226956644377,2983.560732474068,25482.84794983808,
Somnium Space Land,96.06999790000002,2.0,1.79,3.79,2,2022-08-09,3051.756406359189,3409.783694256077,6461.540100615267,
Cryptovoxels Parcel,181.07900348286725,0.42,0.2564,2.783050000000001,7,2022-08-09,437.1342696036292,716.0545757937763,4744.79925514969,
Sandbox's LANDs,3192.902004592592,3.65,0.5,27.236193550925925,15,2022-08-08,886.6467304563718,6472.521132331513,48297.76392401078,
Somnium Space Land,92.27999790000001,1.5,1.2,2.7,2,2022-08-08,2127.952153095292,2659.9401913691154,4787.892344464408,
NFT Worlds,2558.669824120739,1.0996,0.8,12.5647,13,2022-08-08,1418.634768730195,1949.9134896196529,22280.90034833035,
Decentraland LAND,452.78561,3.1,1.68,11.63,5,2022-08-08,2979.133014333409,5497.209728829505,20623.40295041521,802921.7614083878
Cryptovoxels Parcel,178.29595348286725,0.65,0.2763,3.2021,9,2022-08-08,489.960983250191,1152.640749593283,5678.262991188696,
Sandbox's LANDs,3165.6658110416665,2.25,1.32,36.2489989,21,2022-08-07,2241.8616252665133,3821.35504306792,61564.57544563488,
Decentraland LAND,441.15561,2.7,1.966,6.766,3,2022-08-07,3339.015117631792,4585.626051681505,11491.239209510022,749249.873356091
NFT Worlds,2546.105124120739,2.29,0.8501,15.88069,13,2022-08-07,1443.7928542720174,3889.290243833572,26971.44658617702,
Cryptovoxels Parcel,175.09385348286725,0.438,0.3005,1.0465,2,2022-08-07,510.36319575196,743.8904483838885,1777.354690031368,
NFT Worlds,2530.2244341207393,1.8,0.8269,12.8059,12,2022-08-06,1399.7050800545996,3046.884924535348,21676.72425283734,
Sandbox's LANDs,3129.4168121416665,3.0,1.2,40.92994999,24,2022-08-06,2031.2566163568983,5078.141540892247,69282.69310362039,
Decentraland LAND,434.38961,1.52121,1.2,2.72121,2,2022-08-06,2031.2566163568983,2574.9732311402317,4606.22984749713,735297.3078243274
Cryptovoxels Parcel,174.04735348286724,1.5,0.3,4.638,8,2022-08-06,507.81415408922464,2539.070770446124,7850.806822219413,
Decentraland LAND,431.6684,1.89,1.7052,3.5952,2,2022-08-05,2959.4104110729754,3280.134692075957,6239.545103148933,749169.5737105404
Cryptovoxels Parcel,169.40935348286723,1.1,0.2793,2.7693,3,2022-08-05,484.7310156067804,1909.0731012082292,4806.178308341772,
NFT Worlds,2517.4185341207394,2.22,0.85,33.9388,32,2022-08-05,1475.1928509336317,3852.8566224384263,58901.50015207805,
Sandbox's LANDs,3088.486862151666,2.59,1.55,18.698,10,2022-08-05,2690.057551702505,4494.999392844831,32450.7716785377,
Somnium Space Land,89.5799979,3.0,3.0,3.0,1,2022-08-05,5206.563003295171,5206.563003295171,5206.563003295171,
Sandbox's LANDs,3069.7888621516663,2.25,1.2389,34.0479898,19,2022-08-04,1991.706882464833,3617.1930628346713,54736.95667023363,
Decentraland LAND,428.0732,3.3,1.66,16.9,7,2022-08-04,2668.6846596913574,5305.216492157518,27169.13900529153,688188.1819668617
NFT Worlds,2483.479734120739,1.7,0.722,41.99024,38,2022-08-04,1160.7170628296146,2732.990314141752,67505.24659322797,
Somnium Space Land,86.5799979,1.45,0.9,2.35,1,2022-08-04,1446.8772251338687,2331.0799738267883,3777.957198960657,
Cryptovoxels Parcel,166.64005348286724,1.65,0.5,5.73,5,2022-08-04,803.820680629927,2652.608246078759,9211.785000018965,
Somnium Space Land,84.2299979,1.0,1.0,1.0,1,2022-08-03,1617.093220889672,1617.093220889672,1617.093220889672,
Decentraland LAND,411.1732,2.17,2.17,2.17,1,2022-08-03,3509.0922893305883,3509.0922893305883,3509.0922893305883,664905.3943315133
NFT Worlds,2441.489494120739,1.69,0.88,11.27,10,2022-08-03,1423.0420343829114,2732.887543303545,18224.6405994266,
Cryptovoxels Parcel,160.91005348286723,1.2,0.3351,5.2596,6,2022-08-03,541.8879383201291,1940.5118650676063,8505.26350459132,
Sandbox's LANDs,3035.7408723516664,2.5,1.027,21.217258991,12,2022-08-03,1660.754737853693,4042.73305222418,34310.28568020654,
Sandbox's LANDs,3014.5236133606663,2.0,0.6607,24.33669999,14,2022-08-02,1079.3934161490697,3267.4236904769778,39759.15504767841,
NFT Worlds,2430.219494120739,2.45,0.8138,21.5228,16,2022-08-02,1329.5146996550825,4002.594020834298,35162.05330269895,
Cryptovoxels Parcel,155.65045348286725,12.5,0.3326,19.0594,11,2022-08-02,543.3725597263214,20421.39806548111,31137.56754313845,
Somnium Space Land,83.2299979,1.5,1.49,2.99,2,2022-08-01,2434.511361985704,2450.850364415138,4885.361726400843,
Decentraland LAND,409.0032,3.0,1.3,12.69,6,2022-08-01,2124.070315826453,4901.700728830276,20734.194082952068,668270.4278446384
Sandbox's LANDs,2990.1869133706664,2.1999999,1.4,20.1739999,11,2022-08-01,2287.4603401207955,3594.580371085511,32962.30333775064,
NFT Worlds,2408.6966941207393,1.85,1.0,7.522,6,2022-08-01,1633.9002429434254,3022.715449445337,12290.197627420446,
Cryptovoxels Parcel,136.59105348286724,1.0,0.339,6.618,11,2022-08-01,553.8921823578213,1633.9002429434254,10813.15180779959,
Somnium Space Land,80.2399979,1.9,1.9,1.9,1,2022-07-31,3199.413439986928,3199.413439986928,3199.413439986928,
NFT Worlds,2401.1746941207393,1.75,0.9816000000000004,20.5267,15,2022-07-31,1652.9180172058789,2946.828168409013,34564.94729398931,
Cryptovoxels Parcel,129.97305348286724,0.6,0.4,1.0,2,2022-07-31,673.5607242077745,1010.3410863116616,1683.901810519436,
Decentraland LAND,396.3132,1.65,1.65,1.65,1,2022-07-31,2778.437987357069,2778.437987357069,2778.437987357069,667352.5150127513
Sandbox's LANDs,2970.0129134706663,3.0,1.3201,34.0231,19,2022-07-31,2222.9187800667078,5051.705431558308,57291.559689483816,
Decentraland LAND,394.6632,2.088,1.84,3.928,2,2022-07-30,3116.1704902694805,3536.1760780884106,6652.346568357891,668390.1181713707
NFT Worlds,2380.647994120739,2.9,1.29,19.888,13,2022-07-30,2184.7064850258857,4911.355664011681,33681.73842960839,
Sandbox's LANDs,2935.9898134706664,2.09,1.38,30.041,18,2022-07-30,2337.12786770211,3539.56321992566,50876.56396640515,
Cryptovoxels Parcel,128.97305348286724,0.7,0.351,1.739,3,2022-07-30,594.4433924372759,1185.4996430373023,2945.119827488384,
Cryptovoxels Parcel,127.23405348286724,0.5,0.33,2.08,5,2022-07-29,569.3749397662423,862.6893026761246,3588.7874991326785,
Decentraland LAND,390.7352,1.984,1.88,3.864,2,2022-07-29,3243.7117780622284,3423.1511530188623,6666.862931081091,674166.1544380322
Sandbox's LANDs,2905.948813470666,4.9,0.968,35.02299,17,2022-07-29,1670.1664899809773,8454.355166226022,60427.91764146577,
NFT Worlds,2360.759994120739,2.99,1.2,19.276,12,2022-07-29,2070.454326422699,5158.882030003226,33258.39799676996,
Somnium Space Land,78.3399979,2.1,2.1,2.1,1,2022-07-29,3623.295071239724,3623.295071239724,3623.295071239724,
NFT Worlds,2341.483994120739,2.4,1.099199999999999,20.0942,14,2022-07-28,1896.3595859534407,4140.523113435464,34666.874810831214,
Somnium Space Land,76.2399979,3.5,1.45,6.9,3,2022-07-28,2501.566047700593,6038.262873760053,11904.00395112696,
Cryptovoxels Parcel,125.15405348286724,0.5,0.34,2.547,6,2022-07-28,586.5741077366908,862.6089819657218,4394.130154133387,
Sandbox's LANDs,2870.9258234706663,2.99,1.0001,53.4571,25,2022-07-28,1725.390485727837,5158.401712155017,92225.14921967956,
Decentraland LAND,386.8712,3.0,2.05,7.3,3,2022-07-28,3536.696826059459,5175.653891794331,12594.09113669954,667437.1439677143
Cryptovoxels Parcel,122.60705348286724,1.5141,0.2716,4.3777,7,2022-07-27,444.7326840184174,2479.2700915768987,7168.285238687135,
Sandbox's LANDs,2817.468723470666,2.35,1.5,36.638,20,2022-07-27,2456.1819809559133,3848.018436830931,59993.06361217517,
Decentraland LAND,379.5712,3.0,1.84,24.515,12,2022-07-27,3012.9165633059206,4912.363961911827,40142.20084208948,621530.6279532088
NFT Worlds,2321.389794120739,1.898,1.237,15.305,11,2022-07-27,2025.5314069616436,3107.8889332362155,25061.24347902017,
Somnium Space Land,69.3399979,1.45,1.45,1.45,1,2022-07-26,2099.962455571679,2099.962455571679,2099.962455571679,
Decentraland LAND,355.0562,2.0,2.0,2.0,1,2022-07-26,2896.4999387195576,2896.4999387195576,2896.4999387195576,514210.1307709995
NFT Worlds,2306.0847941207394,3.75,1.1599,50.0669,32,2022-07-26,1679.8251394604074,5430.937385099171,72509.38639093911,
Sandbox's LANDs,2780.8307234706663,2.1,0.022,13.0621,8,2022-07-26,31.86149932591513,3041.324935655536,18917.185924774367,
Cryptovoxels Parcel,118.22935348286724,0.4784,0.4784,0.4784,1,2022-07-25,688.1510849369971,688.1510849369971,688.1510849369971,
NFT Worlds,2256.017894120739,2.85,1.2,80.3078,53,2022-07-25,1726.1314839556785,4099.562274394737,115518.18498934653,
Decentraland LAND,353.0562,1.4,1.4,1.4,1,2022-07-25,2013.820064614958,2013.820064614958,2013.820064614958,507851.185354794
Sandbox's LANDs,2767.7686234706666,3.5,1.0,30.7201,16,2022-07-25,1438.4429032963988,5034.550161537396,44189.109833555696,
NFT Worlds,2175.710094120739,3.49,1.217,50.2625,29,2022-07-24,1945.027298831512,5577.769328612964,80330.26672762439,
Decentraland LAND,351.6562,2.9,2.9,2.9,1,2022-07-24,4634.822651282978,4634.822651282978,4634.822651282978,562022.1107669302
Sandbox's LANDs,2737.0485234706666,3.49,1.0,52.9919,28,2022-07-24,1598.214707338958,5577.769328612964,84692.43394983534,
Somnium Space Land,67.8899979,3.0,1.25,4.25,2,2022-07-24,1997.7683841736973,4794.6441220168745,6792.412506190572,
Cryptovoxels Parcel,117.75095348286725,1.0,0.686,2.686,3,2022-07-24,1096.375289234525,1598.214707338958,4292.804703912441,
Cryptovoxels Parcel,115.06495348286724,0.6936,0.6936,0.6936,1,2022-07-23,1075.264000150736,1075.264000150736,1075.264000150736,
Decentraland LAND,348.7562,2.14,1.85,5.84,3,2022-07-23,2867.9907731817502,3317.5677051940243,9053.549251557524,540664.6290215832
NFT Worlds,2125.4475941207393,2.7,1.42,76.1198375,42,2022-07-23,2201.3767015773437,4185.716263562555,118005.94140869955,
Somnium Space Land,63.6399979,1.3499999,1.3499999,1.3499999,1,2022-07-23,2092.8579767547485,2092.8579767547485,2092.8579767547485,
Sandbox's LANDs,2684.056623470666,3.88,1.0,29.55,14,2022-07-23,1550.265282800946,6015.02929726767,45810.33910676796,
Decentraland LAND,342.9162,2.24,2.1,4.34,2,2022-07-22,3224.9843389550792,3439.983294885418,6664.967633840497,526618.749797137
Cryptovoxels Parcel,114.37135348286724,2.5,0.07,7.2516,6,2022-07-22,107.49947796516932,3839.267070184618,11136.33163446031,
Sandbox's LANDs,2654.5066234706665,3.3,1.7,51.456,23,2022-07-22,2610.7016077255403,5067.832532643695,79021.33054536789,
NFT Worlds,2049.3277566207394,3.0,1.0,360.8456,195,2022-07-22,1535.7068280738472,4607.120484221541,554153.0518004042,
NFT Worlds,1688.4821566207393,2.98,0.8,203.17047,164,2022-07-21,1259.8600667838575,4692.9787487698695,319957.95237838465,
Somnium Space Land,62.289998,1.6,1.35,4.43,3,2022-07-21,2126.01386269776,2519.7201335677155,6976.475119815611,
Sandbox's LANDs,2603.0506234706663,7.77,1.88,32.85,12,2022-07-21,2960.6711569420654,12236.390898638218,51733.00399231216,
Cryptovoxels Parcel,107.11975348286724,1.0,0.542,3.316,5,2022-07-21,853.5551952460636,1574.825083479822,5222.11997681909,
Sandbox's LANDs,2570.2006234706664,9.0,1.1,103.9789,45,2022-07-20,1673.5157401407466,13692.401510242473,158191.20526592786,
Somnium Space Land,57.859998,3.5,0.8,5.55,3,2022-07-20,1217.1023564659974,5324.8228095387385,8443.647597982857,
Decentraland LAND,338.5762,3.65,1.9,5.55,2,2022-07-20,2890.618096606744,5553.029501376113,8443.647597982857,515102.3635791285
NFT Worlds,1485.3116866207392,4.0,0.46,574.2775166207391,403,2022-07-20,699.8338549679486,6085.511782329987,873693.1484306782,
Cryptovoxels Parcel,103.80375348286724,1.0,0.532,10.305,14,2022-07-20,809.3730670498883,1521.3779455824967,15677.799729227629,
Sandbox's LANDs,2466.2217234706663,3.0,1.1122,102.5654,45,2022-07-19,1712.6451169982045,4619.61459359343,157937.53954591588,
Decentraland LAND,333.0262,4.0,1.89,11.17,4,2022-07-19,2910.357193963861,6159.48612479124,17200.36500347954,512817.56452298816
NFT Worlds,911.03417,3.89,2.71815,46.32815,13,2022-07-19,4185.601802525328,5990.100256359481,71339.39927806183,
Cryptovoxels Parcel,93.49875348286723,0.779241691412542,0.56,4.021245904881845,6,2022-07-19,862.3280574707737,1199.9320965286024,6192.2020888733305,
Sandbox's LANDs,20195.85713324189,3.5,3.5,3.5,1,2022-07-19,5389.550359192335,5389.550359192335,5389.550359192335,
Sandbox's LANDs,20192.35713324189,3.9,3.9,3.9,1,2022-07-18,6183.267321286216,6183.267321286216,6183.267321286216,
NFT Worlds,864.70602,5.5,2.8196,27.88632,7,2022-07-18,4470.343727974004,8719.992376172868,44212.454145366726,
Cryptovoxels Parcel,89.4775075779854,2.0,0.8,4.8327148349502895,4,2022-07-18,1268.3625274433264,3170.906318608316,7662.043003088009,
Somnium Space Land,52.309998,1.0,1.0,1.0,1,2022-07-18,1585.453159304158,1585.453159304158,1585.453159304158,
Sandbox's LANDs,2363.6563234706664,2.71,1.2638,43.38343,20,2022-07-18,2003.6957027285948,4296.578061714268,68782.39615495078,
Cryptovoxels Parcel,84.6447927430351,2.0,2.0,2.0,1,2022-07-17,2679.7020560891183,2679.7020560891183,2679.7020560891183,
Sandbox's LANDs,2320.2728934706665,2.8,1.95,61.271,27,2022-07-17,2612.7095046868903,3751.582878524765,82094.01233931819,
NFT Worlds,836.8197,4.0,3.1001,18.2601,5,2022-07-17,4153.672172040938,5359.404112178237,24465.81375719645,
Decentraland LAND,321.8562,4.25,1.88,8.13,3,2022-07-16,2547.281494296859,5758.482101468963,11015.637525868864,436094.8628110153
Sandbox's LANDs,2259.0018934706663,2.5,1.6001,98.344399,44,2022-07-16,2168.0346377789383,3387.342412628802,133250.46151087582,
Cryptovoxels Parcel,82.6447927430351,2.7,2.7,2.7,1,2022-07-16,3658.3298056391054,3658.3298056391054,3658.3298056391054,
NFT Worlds,818.5596,5.3,3.45,31.79,8,2022-07-16,4674.532529427746,7181.16591477306,43073.44611898784,
Decentraland LAND,313.7262,2.5285,2.11,7.167,3,2022-07-15,2600.6983634352623,3116.5240814910244,8833.74652641731,386685.88384206814
Cryptovoxels Parcel,79.94479274303511,0.9,0.8296198035109165,1.7296198035109165,2,2022-07-15,1022.554912447547,1109.3026194747565,2131.857531922304,
Somnium Space Land,51.309998,3.0,1.729999,4.729999,2,2022-07-15,2132.3249137652324,3697.675398249188,5830.000312014421,
Sandbox's LANDs,2160.6574944706663,2.51,1.2,76.3929996,34,2022-07-15,1479.0701592996752,3093.721749868487,94158.83840646002,
Sandbox's LANDs,20188.457133241893,2.2,2.2,2.2,1,2022-07-15,2711.6286253827384,2711.6286253827384,2711.6286253827384,
NFT Worlds,786.7696,3.85,3.69,11.29,3,2022-07-15,4548.140739846502,4745.350094419791,13915.585082077778,
Somnium Space Land,46.579999,2.99,1.2,6.19,3,2022-07-14,1430.7175522909731,3564.8712344583423,7380.118040567605,
Sandbox's LANDs,2084.2644948706666,4.69,1.92,82.8489988,36,2022-07-14,2289.1480836655574,5591.721100203888,98777.93064407817,
Sandbox's LANDs,20186.257133241892,5.0,5.0,5.0,1,2022-07-14,5961.3231345457225,5961.3231345457225,5961.3231345457225,
Somnium Space Land,542.5922355616233,3.99,2.0,5.99,2,2022-07-14,2384.529253818289,4757.135861367487,7141.665115185776,
Cryptovoxels Parcel,78.2151729395242,1.4,1.25,2.65,2,2022-07-14,1490.3307836364306,1669.1704776728022,3159.5012613092326,
Decentraland LAND,306.5592,2.8,2.26,7.5,3,2022-07-14,2694.518056814666,3338.3409553456045,8941.984701818583,365499.6902135658
NFT Worlds,775.4796,4.69,4.69,4.69,1,2022-07-14,5591.721100203888,5591.721100203888,5591.721100203888,
NFT Worlds,770.7896,3.72,3.251,17.421,5,2022-07-13,3623.270410253204,4145.975369468446,19415.870137502632,
Sandbox's LANDs,20181.257133241892,2.5,2.5,2.5,1,2022-07-13,2786.2737698040632,2786.2737698040632,2786.2737698040632,
Sandbox's LANDs,2001.4154960706664,6.66,0.09,109.12919999,47,2022-07-13,100.30585571294628,7422.633322758024,121625.53098073554,
Cryptovoxels Parcel,75.56517293952419,0.651,0.651,0.651,1,2022-07-13,725.5456896569781,725.5456896569781,725.5456896569781,
Somnium Space Land,40.389999,2.98,1.15,4.13,2,2022-07-13,1281.685934109869,3321.238333606444,4602.924267716312,
Decentraland LAND,299.0592,2.344,2.344,2.344,1,2022-07-13,2612.4102865682894,2612.4102865682894,2612.4102865682894,333304.3218314349
NFT Worlds,753.3686,4.0,3.26,18.39,5,2022-07-12,3383.8762936202,4151.995452294725,19088.799091925,
Cryptovoxels Parcel,74.91417293952419,0.712546553808948,0.712546553808948,0.712546553808948,1,2022-07-12,739.6225127407577,739.6225127407577,739.6225127407577,
Decentraland LAND,296.7152,3.55,2.99,6.54,2,2022-07-12,3103.616600590307,3684.895963911568,6788.512564501875,307990.0402566799
Somnium Space Land,36.259999,1.479999,1.15,2.629999,2,2022-07-12,1193.6986925347333,1536.2372793501852,2729.9359718849187,
Sandbox's LANDs,1892.2862960806665,3.3,1.8,38.678799,17,2022-07-12,1868.3979535326264,3425.396248143148,40148.54938705544,
